Date,FB US,AMZN US,GOOG US,NFLX US
1/2/2015,78.45,308.52,523.373,49.849
1/5/2015,77.19,302.19,512.463,47.311
1/6/2015,76.15,295.29,500.585,46.501
1/7/2015,76.15,298.42,499.728,46.743
1/8/2015,78.175,300.46,501.303,47.779
1/9/2015,77.74,296.93,494.811,47.041
1/12/2015,76.72,291.41,491.201,45.547
1/13/2015,76.45,294.74,494.821,46.256
1/14/2015,76.28,293.27,499.498,46.32
1/15/2015,74.05,286.95,500.416,46.251
1/16/2015,75.18,290.74,506.689,48.191
1/20/2015,76.24,289.44,505.512,49.829
1/21/2015,76.74,297.25,516.621,58.469
1/22/2015,77.65,310.32,532.927,61.206
1/23/2015,77.83,312.39,538.471,62.494
1/26/2015,77.495,309.66,533.744,63.794
1/27/2015,75.78,306.75,517.21,64.881
1/28/2015,76.24,303.91,508.603,63.209
1/29/2015,78,311.78,509.262,63.4
1/30/2015,75.91,354.53,533.056,63.114
2/2/2015,74.99,364.47,527.033,63.009
2/3/2015,75.4,363.55,527.791,65.274
2/4/2015,75.63,364.75,521.328,64.101
2/5/2015,75.615,373.89,526.135,64.13
2/6/2015,74.47,374.28,529.546,63.48
2/9/2015,74.44,370.56,526.385,63.295
2/10/2015,75.19,372.995,535.47,64.85
2/11/2015,76.51,375.14,534.502,64.984
2/12/2015,76.23,377.17,541.443,65.247
2/13/2015,75.74,381.83,547.507,66.586
2/17/2015,75.6,375.43,541.353,67.137
2/18/2015,76.71,373.37,538.222,67.866
2/19/2015,79.42,378.995,541.383,67.8
2/20/2015,79.895,383.66,537.474,68.314
2/23/2015,78.84,380.14,530.453,67.406
2/24/2015,78.45,378.59,534.622,67.84
2/25/2015,79.56,385.37,542.381,68.333
2/26/2015,80.41,384.8,553.959,69.004
2/27/2015,78.97,380.16,556.871,67.844
3/2/2015,79.75,385.655,569.775,68.607
3/3/2015,79.6,384.61,572.069,67.816
3/4/2015,80.895,382.72,571.8,67.11
3/5/2015,81.21,387.83,573.754,66.807
3/6/2015,80.005,380.09,566.13,64.874
3/9/2015,79.44,378.56,567.292,63.661
3/10/2015,77.55,369.51,553.49,62.151
3/11/2015,77.57,366.37,549.671,62.884
3/12/2015,78.93,374.24,553.989,64.046
3/13/2015,78.05,370.58,545.821,62.629
3/16/2015,78.07,373.35,552.991,60.281
3/17/2015,79.365,371.92,549.332,59.789
3/18/2015,80.91,375.135,557.968,60.446
3/19/2015,82.75,373.24,556.462,60.744
3/20/2015,83.8,378.49,558.825,61.185
3/23/2015,84.43,375.11,557.28,60.714
3/24/2015,85.31,374.09,568.629,62.611
3/25/2015,82.92,370.96,557.255,60.25
3/26/2015,83.01,367.35,553.65,59.751
3/27/2015,83.3,370.56,546.838,59.253
3/30/2015,83.195,374.59,550.518,60.367
3/31/2015,82.215,372.1,546.499,59.527
4/1/2015,81.665,370.255,541.074,59.017
4/2/2015,81.555,372.25,534.063,59.154
4/6/2015,82.44,377.04,535.295,60.33
4/7/2015,82.32,374.41,535.549,60.494
4/8/2015,82.275,381.2,540.127,63.05
4/9/2015,82.17,383.54,539.299,62.786
4/10/2015,82.04,382.65,538.531,64.939
4/13/2015,83.01,382.36,537.693,67.811
4/14/2015,83.515,385.11,528.938,68.387
4/15/2015,82.705,383.45,531.072,67.923
4/16/2015,82.31,386.04,532.338,80.293
4/17/2015,80.775,375.56,522.615,81.65
4/20/2015,83.09,389.51,533.914,81.056
4/21/2015,83.62,391.18,532.508,80.063
4/22/2015,84.63,389.8,537.888,79.669
4/23/2015,82.41,389.99,545.502,79.866
4/24/2015,81.53,445.1,563.513,79.771
4/27/2015,81.91,438.56,555.37,80.869
4/28/2015,80.68,429.31,553.68,80.437
4/29/2015,80.465,429.37,549.08,80.407
4/30/2015,78.77,421.78,537.34,79.5
5/1/2015,78.99,422.87,537.9,79.576
5/4/2015,78.81,423.04,540.78,79.271
5/5/2015,77.56,421.19,530.8,80.793
5/6/2015,78.1,419.1,524.22,80.077
5/7/2015,78.425,426.88,530.7,80.749
5/8/2015,78.51,433.69,538.22,82.086
5/11/2015,78.01,432.85,535.7,84.278
5/12/2015,77.46,431.02,529.04,83.377
5/13/2015,78.44,426.87,529.62,82.873
5/14/2015,81.37,432.28,538.4,83.836
5/15/2015,80.42,426,533.85,87.607
5/18/2015,80.88,425.24,532.3,88.267
5/19/2015,80.63,421.71,537.36,88.069
5/20/2015,80.55,423.86,539.27,88.79
5/21/2015,80.48,431.63,542.51,89.003
5/22/2015,80.54,427.63,540.11,88.839
5/26/2015,79.335,425.47,532.32,87.993
5/27/2015,80.55,431.42,539.79,89.857
5/28/2015,80.145,426.57,539.78,89.507
5/29/2015,79.19,429.23,532.11,89.151
6/1/2015,80.29,430.92,533.99,89.003
6/2/2015,80.445,430.99,539.18,89.13
6/3/2015,82.44,436.59,540.31,88.809
6/4/2015,82.05,430.78,536.7,89.349
6/5/2015,82.14,426.95,533.33,90.46
6/8/2015,80.67,423.5,526.83,89.604
6/9/2015,80.67,425.48,526.69,92.45
6/10/2015,82.16,430.77,536.69,95.871
6/11/2015,81.83,432.97,534.61,95.094
6/12/2015,81.53,429.92,532.33,94.419
6/15/2015,80.71,423.67,527.2,93.431
6/16/2015,81.06,427.26,528.15,95.273
6/17/2015,81.79,427.81,529.26,94.271
6/18/2015,82.905,439.39,536.73,94.743
6/19/2015,82.51,434.92,536.69,93.871
6/22/2015,84.74,436.29,538.19,96.414
6/23/2015,87.88,445.99,540.48,97.313
6/24/2015,88.86,440.84,537.84,96.944
6/25/2015,87.98,440.1,535.23,94.891
6/26/2015,88.01,438.1,531.69,93.089
6/29/2015,85.8,429.86,521.52,92.231
6/30/2015,85.765,434.09,520.51,93.849
7/1/2015,86.91,437.39,521.84,93.636
7/2/2015,87.285,437.71,523.4,94.044
7/6/2015,87.55,436.04,522.86,94.571
7/7/2015,87.22,436.72,525.02,94.091
7/8/2015,85.65,429.7,516.83,93.507
7/9/2015,85.88,434.39,520.68,95.727
7/10/2015,87.95,443.51,530.13,97.229
7/13/2015,90.1,455.57,546.55,101.087
7/14/2015,89.68,465.57,561.1,100.371
7/15/2015,89.76,461.19,560.22,98.13
7/16/2015,90.85,475.48,579.85,115.81
7/17/2015,94.97,483.01,672.93,114.77
7/20/2015,97.91,488.1,663.02,110.55
7/21/2015,98.39,488,662.3,112.51
7/22/2015,97.04,488.27,662.1,111.5
7/23/2015,95.44,482.18,644.28,110.1
7/24/2015,96.95,529.42,623.56,109.34
7/27/2015,94.17,531.41,627.26,106.43
7/28/2015,95.29,526.03,628,106.9
7/29/2015,96.99,529,631.93,107.08
7/30/2015,95.21,536.76,632.59,111.56
7/31/2015,94.01,536.15,625.61,114.31
8/3/2015,94.14,535.03,631.21,112.56
8/4/2015,94.06,531.9,629.25,121.15
8/5/2015,96.44,537.01,643.78,123.71
8/6/2015,95.12,529.46,642.68,126.45
8/7/2015,94.3,522.62,635.3,123.52
8/10/2015,94.15,524,633.73,123.03
8/11/2015,93.62,527.46,660.78,122.74
8/12/2015,94.19,525.91,659.56,120.51
8/13/2015,93.43,529.66,656.45,123.73
8/14/2015,94.42,531.52,657.12,123.39
8/17/2015,93.93,535.22,660.87,125.36
8/18/2015,95.17,535.02,656.13,124.05
8/19/2015,95.31,532.92,660.9,122.06
