Date,NASDAQ
1/2/2015,4230.237
1/5/2015,4160.964
1/6/2015,4110.83
1/7/2015,4160
1/8/2015,4240.549
1/9/2015,4213.276
1/12/2015,4169.97
1/13/2015,4166.203
1/14/2015,4145.841
1/15/2015,4089.648
1/16/2015,4142.14
1/20/2015,4171.214
1/21/2015,4192.093
1/22/2015,4270.363
1/23/2015,4278.143
1/26/2015,4275.715
1/27/2015,4165.502
1/28/2015,4140.375
1/29/2015,4181.352
1/30/2015,4148.43
2/2/2015,4188.586
2/3/2015,4229.149
2/4/2015,4221.199
2/5/2015,4256.181
2/6/2015,4228.682
2/9/2015,4216.086
2/10/2015,4281.155
2/11/2015,4297.282
2/12/2015,4347.972
2/13/2015,4384.028
2/17/2015,4385.342
2/18/2015,4390.912
2/19/2015,4411.863
2/20/2015,4443.053
2/23/2015,4449.491
2/24/2015,4451.029
2/25/2015,4440.591
2/26/2015,4462.272
2/27/2015,4440.672
3/2/2015,4483.049
3/3/2015,4458.778
3/4/2015,4445.36
3/5/2015,4452.057
3/6/2015,4399.231
3/9/2015,4412.989
3/10/2015,4329.082
3/11/2015,4305.381
3/12/2015,4336.228
3/13/2015,4314.9
3/16/2015,4370.468
3/17/2015,4375.625
3/18/2015,4422.502
3/19/2015,4426.825
3/20/2015,4458.539
3/23/2015,4445.545
3/24/2015,4430.985
3/25/2015,4329.287
3/26/2015,4315.258
3/27/2015,4332.861
3/30/2015,4382.819
3/31/2015,4333.688
4/1/2015,4311.257
4/2/2015,4316.006
4/6/2015,4350.979
4/7/2015,4344.08
4/8/2015,4375.96
4/9/2015,4403.953
4/10/2015,4422.022
4/13/2015,4409.208
4/14/2015,4397.645
4/15/2015,4424.529
4/16/2015,4418.831
4/17/2015,4351.799
4/20/2015,4417.397
4/21/2015,4435.977
4/22/2015,4460.813
4/23/2015,4477.067
4/24/2015,4536.778
4/27/2015,4525.036
4/28/2015,4515.265
4/29/2015,4488.152
4/30/2015,4414.252
5/1/2015,4479.056
5/4/2015,4482.61
5/5/2015,4409.394
5/6/2015,4379.748
5/7/2015,4401.552
5/8/2015,4458.65
5/11/2015,4438.635
5/12/2015,4420.647
5/13/2015,4426.56
5/14/2015,4495.037
5/15/2015,4494.291
5/18/2015,4512.948
5/19/2015,4503.718
5/20/2015,4505.3
5/21/2015,4529.467
5/22/2015,4527.157
5/26/2015,4472.96
5/27/2015,4546.06
5/28/2015,4535.657
5/29/2015,4508.253
6/1/2015,4521.847
6/2/2015,4508.886
6/3/2015,4519.863
6/4/2015,4487.031
6/5/2015,4477.185
6/8/2015,4431.515
6/9/2015,4427.608
6/10/2015,4485.463
6/11/2015,4488.47
6/12/2015,4453.794
6/15/2015,4432.916
6/16/2015,4455.897
6/17/2015,4468.982
6/18/2015,4531.848
6/19/2015,4513.424
6/22/2015,4544.04
6/23/2015,4548.74
6/24/2015,4524.597
6/25/2015,4514.008
6/26/2015,4484.281
6/29/2015,4379.865
6/30/2015,4396.761
7/1/2015,4429.226
7/2/2015,4433.394
7/6/2015,4418.662
7/7/2015,4429.061
7/8/2015,4351.578
7/9/2015,4352.033
7/10/2015,4420.152
7/13/2015,4494.469
7/14/2015,4523.466
7/15/2015,4528.358
7/16/2015,4594.896
7/17/2015,4661.597
7/20/2015,4679.675
7/21/2015,4674.405
7/22/2015,4623.242
7/23/2015,4602.83
7/24/2015,4557.375
7/27/2015,4519.093
7/28/2015,4560.233
7/29/2015,4581.604
7/30/2015,4598.593
7/31/2015,4588.907
8/3/2015,4580.463
8/4/2015,4567.465
8/5/2015,4602.238
8/6/2015,4528.507
8/7/2015,4520.08
8/10/2015,4573.113
8/11/2015,4513.992
8/12/2015,4528.189
8/13/2015,4519.316
8/14/2015,4530.739
8/17/2015,4566.37
8/18/2015,4542.07
8/19/2015,4510.899
8/20/2015,4385.126
8/21/2015,4197.271
8/24/2015,4038.602
8/25/2015,4016.324
8/26/2015,4219.6
8/27/2015,4324.821
8/28/2015,4329.121
8/31/2015,4274.584
9/1/2015,4142.634
9/2/2015,4256.23
9/3/2015,4234.654
9/4/2015,4184.721
9/8/2015,4303.526
9/9/2015,4253.448
9/10/2015,4296.298
9/11/2015,4323.23
9/14/2015,4308.76
9/15/2015,4360.28
9/16/2015,4383.67
9/17/2015,4384.961
9/18/2015,4323.858
9/21/2015,4336.13
9/22/2015,4274.098
9/23/2015,4273.531
9/24/2015,4261.104
9/25/2015,4224.74
9/28/2015,4103.47
9/29/2015,4083.372
9/30/2015,4181.06
10/1/2015,4192.963
10/2/2015,4267.45
10/5/2015,4331.432
10/6/2015,4306.7
10/7/2015,4333.464
10/8/2015,4350.149
10/9/2015,4370.009
10/12/2015,4382.563
10/13/2015,4352.938
10/14/2015,4346.922
10/15/2015,4418.221
10/16/2015,4438.622
10/19/2015,4462.066
10/20/2015,4438.181
10/21/2015,4413.524
10/22/2015,4503.216
10/23/2015,4624.09
10/26/2015,4630.846
10/27/2015,4639.233
10/28/2015,4678.575
10/29/2015,4670.765
10/30/2015,4648.831
11/2/2015,4703.915
11/3/2015,4719.053
11/4/2015,4717.553
11/5/2015,4702.896
11/6/2015,4707.231
11/9/2015,4655.515
11/10/2015,4641.729
11/11/2015,4636.937
11/12/2015,4588.931
11/13/2015,4502.137
11/16/2015,4565.468
11/17/2015,4565.817
11/18/2015,4653.444
11/19/2015,4655.355
11/20/2015,4686.358
11/23/2015,4674.793
11/24/2015,4669.409
11/25/2015,4672.884
11/27/2015,4680.465
11/30/2015,4664.51
12/1/2015,4716.158
12/2/2015,4686.223
12/3/2015,4606.755
12/4/2015,4716.12
12/7/2015,4693.621
12/8/2015,4694.767
12/9/2015,4622.138
12/10/2015,4643.048
12/11/2015,4537.563
12/14/2015,4570.157
12/15/2015,4597.327
12/16/2015,4664.564
12/17/2015,4598.138
12/18/2015,4514.825
12/21/2015,4560.552
12/22/2015,4589.256
12/23/2015,4624.587
12/24/2015,4622.772
12/28/2015,4621.35
12/29/2015,4691.077
12/30/2015,4652.008
12/31/2015,4593.271
1/4/2016,4497.857
1/5/2016,4484.18
1/6/2016,4443.985
1/7/2016,4305.725
1/8/2016,4270.782
1/11/2016,4283.547
1/12/2016,4333.717
1/13/2016,4183.116
1/14/2016,4272.967
1/15/2016,4141.082
1/19/2016,4147.075
1/20/2016,4136.281
1/21/2016,4142.599
1/22/2016,4259.773
1/25/2016,4196.532
1/26/2016,4233.85
1/27/2016,4128.861
1/28/2016,4186.061
1/29/2016,4279.169
2/1/2016,4286.556
2/2/2016,4193.101
2/3/2016,4171.968
2/4/2016,4167.771
2/5/2016,4024.473
2/8/2016,3960.671
2/9/2016,3947.804
2/10/2016,3966.275
2/11/2016,3962.224
2/12/2016,4019.191
2/16/2016,4104.331
2/17/2016,4199.103
2/18/2016,4151.492
2/19/2016,4164.088
2/22/2016,4231.268
2/23/2016,4162.54
2/24/2016,4200.659
2/25/2016,4241.059
2/26/2016,4235.616
2/29/2016,4201.118
3/1/2016,4333.614
3/2/2016,4334.386
3/3/2016,4325.862
3/4/2016,4329
3/7/2016,4303.333
3/8/2016,4265.51
3/9/2016,4293.232
3/10/2016,4286.966
3/11/2016,4361.83
3/14/2016,4367.329
3/15/2016,4367.082
3/16/2016,4404.202
3/17/2016,4400.263
3/18/2016,4410.828
3/21/2016,4426.977
3/22/2016,4437.619
3/23/2016,4402.559
3/24/2016,4405.532
3/28/2016,4398.065
3/29/2016,4467.719
3/30/2016,4490.875
3/31/2016,4483.655
4/1/2016,4532.082
4/4/2016,4511.704
4/5/2016,4470.748
4/6/2016,4543.781
4/7/2016,4475.286
4/8/2016,4474.925
4/11/2016,4458.706
